filename,mean_spectral_centroids,mean_spectral_rolloff,mean_spectral_bandwidth_2,sum_zero_crossings,mean_mfccs,mean_magnitude,mean_freq,mean_chroma_stft,mean_rms,mean_bank,mean_mel,mean_spectral_contrast,mean_chroma_med,mean_melspectrogram,mean_flatness
101227.wav,2342.185696184302,3907.1625808189656,1743.9233566218243,4401,-8.68431568145752,0.00012935074273963084,11025.0,0.4004858434200287,0.11741791665554047,-9.510464948774338,-2.0519630824988413,22.276826960303588,0.5367942185317897,4.825759410858154,0.00010374970588600263
101806.wav,1188.7636674662294,2180.5462015086205,1257.383564961927,1349,-8.832052230834961,0.0001670346788650338,11025.0,0.26924192905426025,0.18424297869205475,-8.274112931773166,-3.6107821008313787,25.46560801023574,0.2738917465828912,8.018603324890137,1.123381207435159e-05
100878.wav,2020.1611949781511,3535.1579337284484,1626.0698776776915,3473,-11.369373321533203,9.623856430655005e-05,11025.0,0.36887800693511963,0.08146132528781891,-9.746227913729363,-3.196822179574015,23.524046437460473,0.46619192967272244,1.8225195407867432,2.559311906225048e-05
105729.wav,1449.5423268317008,2614.6753771551726,1370.8896922941144,2617,-9.441900253295898,0.00011603120995618491,11025.0,0.41267213225364685,0.09649062901735306,-10.141754404445088,-2.0214303750740226,22.438212143846883,0.5571274392887094,2.7615771293640137,4.5571014197776094e-05
103895.wav,1394.9686724183048,2772.338025323276,1468.5563256909636,1998,-8.689920425415039,5.896268331129119e-05,11025.0,0.5898993611335754,0.04789132997393608,-12.451098486032185,0.8073045169713597,19.229321752719382,0.6646240643761401,1.595016598701477,9.801769920159131e-07
107708.wav,772.9825422091633,1364.264547413793,1147.0189855497745,685,-6.288596153259277,9.031689104855929e-05,11025.0,0.6049463748931885,0.10370596498250961,-12.683450074333848,2.4065561525091272,19.903285070803168,0.5190598986943551,4.51500940322876,1.3488764125213493e-05
100564.wav,1297.7681662330374,2358.5045123922414,1361.8473127877955,1887,-10.552221298217773,0.00013439833077046094,11025.0,0.4112106263637543,0.12348781526088715,-10.684037807694564,-1.2166562869702817,22.499812461170187,0.47965375697882684,4.996602535247803,2.5748947791726096e-06
100387.wav,1521.7815232016844,2944.603650323276,1552.365971366507,2128,-7.515934467315674,9.099032987330942e-05,11025.0,0.5853995084762573,0.0640135258436203,-11.250966261841139,-1.7025452722610859,19.241408964536536,0.7038024142138731,2.6511120796203613,4.901152351521887e-05
105134.wav,1207.0881531477685,2164.953192349138,1304.8631538080622,1560,-3.0949459075927734,0.00014618693490838877,11025.0,0.49954983592033386,0.1560174971818924,-9.314289240166941,3.3818662025944586,24.51103607376682,0.3515840372496023,6.131640434265137,2.3748851162963547e-05
100877.wav,957.5862324520281,1414.508688038793,1161.886159073293,1303,-2.5273425579071045,9.046956990218591e-05,11025.0,0.5177772045135498,0.12935790419578552,-10.387271538262148,4.933800939099181,23.020390148964378,0.31526718760618666,4.010756015777588,2.7560170565266162e-05
100604.wav,1422.2540857746185,2532.007677801724,1547.20170196958,2212,-2.2813944816589355,0.0001372714293375977,11025.0,0.44969356060028076,0.1361730843782425,-9.224591626342697,1.3361344577501097,22.021056632505363,0.4595775357656131,5.191368103027344,6.8569065660994966e-06
101146.wav,1213.8908396736322,2368.157327586207,1477.1377265377844,1296,-4.7587103843688965,9.593112720427985e-05,11025.0,0.5340921878814697,0.09198588877916336,-10.540024030541746,0.6390734440406652,20.61218250434378,0.5701867581524386,2.8280882835388184,4.1875151509884745e-05
104303.wav,1449.2725340070785,2648.583984375,1447.736381504265,2038,-8.012373924255371,0.0001017526623346235,11025.0,0.4848892092704773,0.08524511009454727,-10.636150518509208,0.6036580963242232,21.536008308990905,0.5514673908039602,2.7036025524139404,5.9249938203720376e-05
101147.wav,1947.2788335630994,3183.6964574353447,1471.8641720880184,3573,-12.217632293701172,8.64862326961904e-05,11025.0,0.312529981136322,0.10408800840377808,-10.423522164467343,-2.5819281225841575,24.45057493541392,0.4263914956435212,4.425619125366211,4.1420339584874455e-06
102662.wav,1058.2058421863587,1805.0764412715516,1197.2583675378662,1422,-6.951213359832764,0.00012126287516201476,11025.0,0.3722100555896759,0.13917548954486847,-10.17249702338294,0.6938160347837214,23.720488449453228,0.3932092043410908,5.441378593444824,3.1607301025360357e-06
102195.wav,1343.2152100223436,2532.2551858836205,1497.0431788945616,1906,-2.723884344100952,0.00010876967782713007,11025.0,0.5376701354980469,0.10616789013147354,-10.265412447346103,1.8565485818946827,20.60347395963573,0.5736562977987382,3.7675788402557373,3.2497357551619643e-06
105264.wav,1768.0371793639347,3188.646619073276,1477.3690275081065,2070,-9.34221076965332,0.0001035809594816991,11025.0,0.43436142802238464,0.11974753439426422,-11.096965755844147,1.8575521073965526,23.549659674786977,0.5091354199475816,5.30038595199585,2.5947412723326124e-05
106072.wav,1156.218892967045,2247.3733836206898,1401.3174686389195,1379,-7.534258842468262,0.00010044892931893418,11025.0,0.4552581310272217,0.08088718354701996,-11.090869030251325,-1.3832907104390322,21.22502544817831,0.5939484277675756,2.850752592086792,1.4863093383610249e-05
104464.wav,1652.6548191668683,2900.794719827586,1482.350061612484,2897,-7.3638834953308105,0.00011222243434827905,11025.0,0.34005340933799744,0.13132423162460327,-9.64458634889712,-3.6032158026475427,24.104574280701357,0.4359120884424707,4.883366584777832,6.7820992626366206e-06
105222.wav,1676.8505242863966,3102.513806573276,1504.751443917172,2373,-6.5909037590026855,0.00016410264622836266,11025.0,0.3646187484264374,0.1275314837694168,-8.551827089154607,-3.955431955894349,23.891594696767076,0.46288637258841686,3.897304058074951,1.0744125575001817e-05
106190.wav,711.7155542689601,1231.1051993534484,1050.5803472272412,665,-9.105978965759277,9.047019339393267e-05,11025.0,0.5362293720245361,0.07662717998027802,-13.349352602714028,2.004203784002724,19.473734859227548,0.5533950501084033,2.9963691234588623,1.759539190970827e-05
103359.wav,815.6425416842039,1394.9555495689656,1121.187409331,944,-0.7911824584007263,0.00013293354885176645,11025.0,0.49031317234039307,0.16301925480365753,-9.490168062891751,3.072261833428907,23.349864128339128,0.3692534535052941,6.068900108337402,9.109271559282206e-06
105780.wav,1597.1425726483803,2915.397696659483,1446.7358217263716,2437,-10.071245193481445,0.00012734040507104147,11025.0,0.41707563400268555,0.1024065911769867,-9.907125150836537,-1.194118318855151,22.596762079930894,0.5204081843006265,3.3654232025146484,2.394328703303472e-06
104227.wav,853.1869747751746,1481.0883620689656,1043.7185866080238,1088,-9.098082542419434,0.0001250566605267953,11025.0,0.42188090085983276,0.17626161873340607,-10.42581486775161,-1.2196841794430897,21.936626854695028,0.45260625051881054,9.47600269317627,9.471514204051346e-06
104084.wav,1491.3894968114673,2665.662042025862,1452.7532612540663,2207,-11.725625038146973,5.3264773002926944e-05,11025.0,0.6184566020965576,0.02350153960287571,-14.187436120640395,1.0564838545456288,18.595600064214032,0.6271907268161734,0.8014196753501892,1.4438084690482356e-05
102043.wav,1975.2929846807112,3445.3125,1581.3638588380643,3479,-8.468954086303711,0.00013792684066404984,11025.0,0.33578377962112427,0.12421619147062302,-8.54544425450884,-3.6361131273789864,24.65613260093884,0.45736508886564403,4.251093864440918,5.900313681195257e-06
105873.wav,896.6151551604192,1385.5502424568965,903.2779667342888,1202,-1.0250998735427856,0.00012436876164904296,11025.0,0.5089680552482605,0.1604187786579132,-10.132823225345069,3.2472053232196743,21.831116820285036,0.41077792265471985,6.768810272216797,3.0287935715023195e-06
103939.wav,1611.7269591989475,2799.31640625,1370.5234388662798,2507,-5.032795429229736,0.00013482808068201717,11025.0,0.43138599395751953,0.11704328656196594,-9.23737103063899,-1.4829480595796138,20.56259834987099,0.6736918199413375,3.4918675422668457,1.6829168089316227e-05
103849.wav,1462.7973939710541,2570.866446659483,1541.4923367145823,2266,-2.0766592025756836,0.00016991162109926755,11025.0,0.4700621962547302,0.15076704323291779,-8.836501532259492,1.036622031410689,21.904844489130294,0.4821616311296703,5.827599048614502,3.183886656188406e-05
107197.wav,1390.3783832680049,2537.7003636853447,1482.73356866785,2340,-5.871549606323242,7.786257664183216e-05,11025.0,0.5954101085662842,0.07910652458667755,-11.47738377942045,2.224826998753214,20.372731603002105,0.5984503332160105,2.7255780696868896,2.0562176359817386e-05
100527.wav,1647.4106434158625,2618.140490301724,1441.3395990178926,3049,-3.0105724334716797,0.00011239001395678878,11025.0,0.5586459040641785,0.12741728127002716,-10.312872646337842,2.3905837105168644,21.983974810998617,0.4495962232515605,5.682794094085693,1.1298401659587398e-05
104446.wav,1335.7026843526828,2359.4945447198274,1427.640033955014,2040,-9.399995803833008,0.00010785514672654414,11025.0,0.41715699434280396,0.0815703272819519,-11.613520923584487,-1.1172353853942496,20.533652201108772,0.6430178143619911,2.497795343399048,7.324931630137144e-06
100818.wav,1726.2431571173734,2730.7566675646553,1419.1316968407984,2757,-6.185515403747559,0.00018162876339495652,11025.0,0.43556374311447144,0.12025681883096695,-9.521332116705418,-0.5789752643613869,23.49963575612916,0.48140489500840294,3.6030168533325195,2.964732084365096e-05
